ANO;PIB;VARIACAO_%
2000;11900000000000;44
2001;13100000000000;14
2002;14800000000000;31
2003;17100000000000;11
2004;19500000000000;58
2005;21700000000000;32
2006;24000000000000;40
2007;27200000000000;61
2008;31000000000000;51
2009;33300000000000;-01
2010;38800000000000;75
2011;43700000000000;4
2012;48100000000000;19
2013;53300000000000;3
2014;57700000000000;05
2015;59900000000000;-35
2016;62600000000000;-33
2017;62800000000000;13
2018;70400000000000;18
2019;71000000000000;11
2020;74000000000000;-41
